Year,Day,Day sequence,Transect,Total abundance
2014,Peak+1,4,10,5
2014,Peak+1,4,10,5
2014,Peak+1,4,10,9
2014,Peak+1,4,10,6
2014,Peak+1,4,10,3
2014,Peak+1,4,10,2
2014,Peak+1,4,10,3
2014,Peak+1,4,10,3
2014,Peak+1,4,10,2
2014,Peak+1,4,10,4
2014,Peak+1,4,10,3
2014,Peak+1,4,10,4
2014,Peak+1,4,10,3
2014,Peak +2,5,11,2
2014,Peak +2,5,11,1
2014,Peak +2,5,11,1
2014,Peak +2,5,11,1
2014,Peak +2,5,11,3
2014,Peak +2,5,11,2
2014,Peak +2,5,11,4
2014,Peak +2,5,12,2
2014,Peak +2,5,12,2
2014,Peak +2,5,12,3
2014,Peak +2,5,12,2
2014,Peak +2,5,12,2
2014,Peak +2,5,12,4
2014,Peak +2,5,12,4
2014,Peak +2,5,12,3
2014,Peak +2,5,12,5
2014,Peak +2,5,13,7
2014,Peak +2,5,13,2
2014,Peak +2,5,13,6
2014,Peak +2,5,13,4
2014,Peak +2,5,13,3
2014,Peak +2,5,13,2
2014,Peak +2,5,13,4
2014,Peak +2,5,13,3
2014,Peak +2,5,13,1
2014,Peak +2,5,14,14
2014,Peak +2,5,14,6
2014,Peak +2,5,14,3
2014,Peak +2,5,14,4
2014,Peak +2,5,14,2
2014,Peak +2,5,14,1
2014,Peak +2,5,14,5
2014,Peak +2,5,14,3
2014,Peak +2,5,14,2
2014,Peak +2,5,15,0
2014,Peak +2,5,15,1
2014,Peak +2,5,15,4
2014,Peak +2,5,15,1
2014,Peak +2,5,15,1
2014,Peak +2,5,15,2
2014,Peak +2,5,15,1
2014,Peak +2,5,15,1
2014,Peak +2,5,15,4
2014,Peak +2,5,15,2
2014,Peak +2,5,15,1
2014,Peak +3,6,16,1
2014,Peak +3,6,17,1
2014,Peak +3,6,18,2
2014,Peak +3,6,19,0
2014,Peak +3,6,20,1
2013,Peak-2,1,21,58
2013,Peak-2,1,22,34
2013,Peak-2,1,22,48
2013,Peak-2,1,23,54
2013,Peak-2,1,24,124
2013,Peak-2,1,25,103
2013,Peak-2,1,26,20
2013,Peak-1,2,27,1
2013,Peak-1,2,27,1
2013,Peak-1,2,27,5
2013,Peak-1,2,27,3
2013,Peak-1,2,27,3
2013,Peak-1,2,27,4
2013,Peak-1,2,27,3
2013,Peak-1,2,27,2
2013,Peak-1,2,27,2
2013,Peak-1,2,27,7
2013,Peak-1,2,27,2
2013,Peak-1,2,27,2
2013,Peak-1,2,27,2
2013,Peak-1,2,27,2
2013,Peak-1,2,27,15
2013,Peak-1,2,27,2
2013,Peak-1,2,27,3
2013,Peak-1,2,27,2
2013,Peak-1,2,27,3
2013,Peak-1,2,27,7
2013,Peak-1,2,27,5
2013,Peak-1,2,27,3
2013,Peak-1,2,27,4
2013,Peak-1,2,27,7
2013,Peak-1,2,27,3
2013,Peak-1,2,27,2
2013,Peak-1,2,28,7
2013,Peak-1,2,28,5
2013,Peak-1,2,28,5
2013,Peak-1,2,28,3
2013,Peak-1,2,28,8
2013,Peak-1,2,28,2
2013,Peak-1,2,28,5
2013,Peak-1,2,28,39
2013,Peak-1,2,28,28
2013,Peak-1,2,28,3
2013,Peak-1,2,28,22
2013,Peak-1,2,28,5
2013,Peak-1,2,28,3
2013,Peak-1,2,28,5
2013,Peak-1,2,28,5
2013,Peak-1,2,28,3
2013,Peak-1,2,28,5
2013,Peak-1,2,28,112
2013,Peak-1,2,29,3
2013,Peak-1,2,29,8
2013,Peak-1,2,29,2
2013,Peak-1,2,29,35
2013,Peak-1,2,29,3
2013,Peak-1,2,29,3
2013,Peak-1,2,29,10
2013,Peak-1,2,29,2
2013,Peak-1,2,29,5
2013,Peak-1,2,29,12
2013,Peak-1,2,29,10
2013,Peak-1,2,29,5
2013,Peak-1,2,29,5
2013,Peak-1,2,29,7
2013,Peak-1,2,29,5
2013,Peak-1,2,30,5
2013,Peak-1,2,30,8
2013,Peak-1,2,30,6
2013,Peak-1,2,30,15
2013,Peak-1,2,30,3
2013,Peak-1,2,30,27
2013,Peak-1,2,30,42
2013,Peak-1,2,30,15
2013,Peak-1,2,30,6
2013,Peak-1,2,30,5
2013,Peak-1,2,30,12
2013,Peak-1,2,30,10
2013,Peak-1,2,30,20
2013,Peak-1,2,30,5
2013,Peak-1,2,31,30
2013,Peak-1,2,31,18
2013,Peak-1,2,31,9
2013,Peak-1,2,31,6
2013,Peak-1,2,31,5
2013,Peak-1,2,31,5
2013,Peak-1,2,31,3
2013,Peak-1,2,31,7
2013,Peak-1,2,31,2
2013,Peak-1,2,31,3
2013,Peak-1,2,31,10
2013,Peak-1,2,31,5
2013,Peak,3,32,3
2013,Peak,3,32,10
2013,Peak,3,32,2
2013,Peak,3,32,10
2013,Peak,3,32,4
2013,Peak,3,32,3
2013,Peak,3,32,5
2013,Peak,3,32,21
2013,Peak,3,32,7
2013,Peak,3,32,7
2013,Peak,3,32,2
2013,Peak,3,32,7
2013,Peak,3,32,3
2013,Peak,3,32,1
2013,Peak,3,32,2
2013,Peak,3,32,10
2013,Peak,3,32,8
2013,Peak,3,32,9
2013,Peak,3,32,3
2013,Peak,3,32,3
2013,Peak,3,32,2
2013,Peak,3,32,9
2013,Peak,3,32,13
2013,Peak,3,33,8
2013,Peak,3,33,3
2013,Peak,3,33,7
2013,Peak,3,33,10
2013,Peak,3,33,35
2013,Peak,3,33,10
2013,Peak,3,33,11
2013,Peak,3,33,6
2013,Peak,3,33,10
2013,Peak,3,33,3
2013,Peak,3,33,11
2013,Peak,3,33,6
2013,Peak,3,33,3
2013,Peak,3,33,10
2013,Peak,3,33,8
2013,Peak,3,33,7
2013,Peak,3,33,2
2013,Peak,3,33,8
2013,Peak,3,33,3
2013,Peak,3,33,3
2013,Peak,3,33,9
2013,Peak,3,33,7
2013,Peak,3,33,6
2013,Peak,3,33,6
2013,Peak,3,33,260
2013,Peak,3,34,26
2013,Peak,3,34,16
2013,Peak,3,34,5
2013,Peak,3,34,3
2013,Peak,3,34,5
2013,Peak,3,34,6
2013,Peak,3,34,3
2013,Peak,3,34,4
2013,Peak,3,34,6
2013,Peak,3,34,16
2013,Peak,3,34,7
2013,Peak,3,34,7
2013,Peak,3,34,12
2013,Peak,3,34,12
2013,Peak,3,34,5
2013,Peak,3,34,6
2013,Peak,3,35,6
2013,Peak,3,35,1
2013,Peak,3,35,1
2013,Peak,3,35,5
2013,Peak,3,35,16
2013,Peak,3,35,7
2013,Peak,3,35,3
2013,Peak,3,35,13
2013,Peak,3,35,3
2013,Peak,3,35,3
2013,Peak,3,35,5
2013,Peak,3,35,5
2013,Peak,3,35,6
2013,Peak,3,35,4
2013,Peak,3,35,3
2013,Peak,3,35,4
2013,Peak,3,35,5
2013,Peak,3,35,9
2013,Peak,3,35,21
2013,Peak,3,35,2
2013,Peak,3,35,3
2013,Peak,3,36,3
2013,Peak,3,36,3
2013,Peak,3,36,2
2013,Peak,3,36,7
2013,Peak,3,36,4
2013,Peak,3,36,3
2013,Peak,3,36,3
2013,Peak,3,36,1
2013,Peak,3,36,3
2013,Peak,3,36,8
2013,Peak,3,36,3
2013,Peak,3,36,4
2013,Peak,3,36,2
2013,Peak+1,4,37,8
2013,Peak+1,4,37,6
2013,Peak+1,4,37,2
2013,Peak+1,4,37,5
2013,Peak+1,4,37,9
2013,Peak+1,4,37,3
2013,Peak+1,4,37,4
2013,Peak+1,4,37,5
2013,Peak+1,4,37,2
2013,Peak+1,4,37,20
2013,Peak+1,4,38,6
2013,Peak+1,4,38,8
2013,Peak+1,4,38,5
2013,Peak+1,4,38,8
2013,Peak+1,4,38,4
2013,Peak+1,4,38,3
2013,Peak+1,4,38,2
2013,Peak+1,4,38,4
2013,Peak+1,4,38,3
2013,Peak+1,4,38,35
2013,Peak+1,4,38,6
2013,Peak+1,4,38,5
2013,Peak+1,4,38,6
2013,Peak+1,4,38,5
2013,Peak+1,4,38,12
2013,Peak+1,4,38,2
2013,Peak+1,4,38,5
2013,Peak+1,4,38,7
2013,Peak+1,4,39,10
2013,Peak+1,4,39,5
2013,Peak+1,4,39,13
2013,Peak+1,4,39,7
2013,Peak+1,4,39,6
2013,Peak+1,4,39,12
2013,Peak+1,4,39,5
2013,Peak+1,4,39,2
2013,Peak+1,4,39,6
2013,Peak+1,4,39,2
2013,Peak+1,4,39,12
2013,Peak+1,4,39,10
2013,Peak+1,4,39,10
2013,Peak+1,4,39,3
2013,Peak+1,4,39,7
2013,Peak+1,4,40,41
2013,Peak+1,4,40,43
2013,Peak+1,4,40,20
